Adele,pop,,,,,,,,,,,,
Adele,pop soul,,,,,,,,,,,,
Adele,uk pop,,,,,,,,,,,,
ABBA,europop,,,,,,,,,,,,
ABBA,swedish pop,,,,,,,,,,,,
Ace of Base,bubblegum dance,,,,,,,,,,,,
Ace of Base,dance pop,,,,,,,,,,,,
Ace of Base,eurodance,,,,,,,,,,,,
Ace of Base,europop,,,,,,,,,,,,
Ace of Base,hip house,,,,,,,,,,,,
Ace of Base,pop rock,,,,,,,,,,,,
Acapulco Tropical,cumbia sonidera,,,,,,,,,,,,
Acapulco Tropical,mexican rock-and-roll,,,,,,,,,,,,
Acapulco Tropical,musica costena,,,,,,,,,,,,
Alberto Vazquez,bolero,,,,,,,,,,,,
Alberto Vazquez,mexican rock-and-roll,,,,,,,,,,,,
Alberto Vazquez,pop romantico,,,,,,,,,,,,
Alberto Vazquez,ranchera,,,,,,,,,,,,
Angelica Maria,mexican rock-and-roll,,,,,,,,,,,,
Amy Adams,disney,,,,,,,,,,,,
Amy Adams,hollywood,,,,,,,,,,,,
Amy Adams,movie tunes,,,,,,,,,,,,
Cast - Frozen,disney,,,,,,,,,,,,
Andrea Bocelli,adult standards,,,,,,,,,,,,
Andrea Bocelli,classical tenor,,,,,,,,,,,,
Andrea Bocelli,italian tenor,,,,,,,,,,,,
Andrea Bocelli,operatic pop,,,,,,,,,,,,
Coldplay,permanent wave,,,,,,,,,,,,
Coldplay,pop,,,,,,,,,,,,
Aqua,bubblegum dance,,,,,,,,,,,,
Aqua,dance pop,,,,,,,,,,,,
Aqua,eurodance,,,,,,,,,,,,
Aqua,europop,,,,,,,,,,,,
Beatriz Adriana,mariachi,,,,,,,,,,,,
Beatriz Adriana,ranchera,,,,,,,,,,,,
Chavela Vargas,bolero,,,,,,,,,,,,
Chavela Vargas,nueva cancion,,,,,,,,,,,,
Chavela Vargas,ranchera,,,,,,,,,,,,
Chayanne,latin,,,,,,,,,,,,
Chayanne,latin pop,,,,,,,,,,,,
Flor Silvestre,mariachi,,,,,,,,,,,,
Flor Silvestre,ranchera,,,,,,,,,,,,
Backstreet Boys,boy band,,,,,,,,,,,,
Backstreet Boys,dance pop,,,,,,,,,,,,
Backstreet Boys,europop,,,,,,,,,,,,
Angela Maria,velha guarda,,,,,,,,,,,,
Bacilos,colombian pop,,,,,,,,,,,,
